Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
ESTRELA GUIA VIII;SC00223416;441M2013004067;;6,33;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7883
ESTRELA GUIA XL;SC00282290;4450094093;0,3;7,2;Motor;5;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7884
ESTRELA GUIA XXX;SC00062368;4610065371;17,3;14,15;Motor;110;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7885
ESTRELA I;SC00161467;441M2011004245;;4,99;Remo;;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;7886
ESTRELA I;CE00035357;1610063163;1,9;6,74;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;7887
ESTRELA I;SC00305801;441M2017004431;1;4,6;Motor;5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7888
ESTRELA I;PE00326497;2410150349;6,1;8;Motor;18;;;3;;Deferida;PE;1.03.005;1.6;1. Linha;7889
ESTRELA I.;SC00342515;4450097289;0,4;5;Motor;5,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7890
ESTRELA II;PR00298417;421M2006004941;;5,56;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7891
ESTRELA II;SC00180901;4410459473;1;8,5;Remo;;0,9;;6;;Deferida;SC;6.08.002;6.9;6. Diversificada;7892
ESTRELA III;CE00263814;1630030171;12,6;12,3;Vela;;;;;;Deferida;CE;1.03.005;1.6;1. Linha;7893
ESTRELA III;RJ00221080;386M2012001120;;4,2;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7894
ESTRELA III;SC00308047;441M2017005934;1;4,07;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7895
ESTRELA III;PR00152168;421M2006002964;;5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7896
ESTRELAIS;SC00341529;442M2010006667;1,99;5,1;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7897
ESTRELA IV;SC00157828;4450095341;0,2;6,17;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7898
ESTRELA IV;PR00294451;421M2006002867;;5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7899
ESTRELA LUCIA;CE00271857;1630041530;0,7;5,55;Vela;;;;4;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;7900
ESTRELA LUMINOZA;CE00017179;1630040282;2,9;9,21;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;7901
ESTRELA MAIOR;SC00242058;4430116211;1,7;7,8;Motor;14;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7902
ESTRELAMAR;BA00240004;2930024143;1,1;6,4;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;7903
ESTRELA MAR;RJ00013019;4030146562;30;16,1;Motor;195;;9000;13;;Deferida;RJ;4.01.005;4.2;4. Rede de Cerco;7904
ESTRELA MATUTINA I;CE00007190;1630040932;6,7;9,45;Motor;64;;6591;6;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;7905
ESTRELÃO MUNDIAL;AL00219125;2420000561;3,5;10,4;Motor;90;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;7906
ESTRELA SOLITARIA;ES00077387;3870052961;4,2;9;Motor;55;;100;2;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;7907
ESTRELA SOLITARIA;RJ00077391;3860000667;2,2;6;Motor;10;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;7908
ESTRELA SOLITARIA I;SC00273245;4451113679;0,6;6;Motor;7,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7909
ESTRELA V;PR00077407;4211470531;1,4;8,07;Motor;11;;;4;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;7910
ESTRELA VII;PR00292217;421M2009000660;;5,66;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7911
ESTRELA VIII;PR00291707;421M2009082054;;5,7;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7912
ESTRELA X;CE00017097;1620017164;1;6,18;Vela;;;;5;80;Deferida;CE;5.01.003;5.2;5. Armadilha;7913
ESTRELA XV;PR00152394;421M2009000899;;5,35;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7914
ESTRELA XVII;PR00115764;421M2010002441;;7,11;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7915
ESTROINA VII;SP00316986;4010787741;1,1;6,2;Motor;115;;;2;;Deferida;SP;1.09.004;1.11;1. Linha;7916
ESTROINA X;SP00324547;4030144829;3,9;6,5;Motor;260;;;2;;Deferida;SP;1.09.004;1.11;1. Linha;7917
ESTUDANTE II;PB00017187;2010059581;2,9;10,6;Motor;72;;;6;250;Deferida;PB;5.01.001;5.1;5. Armadilha;7918
ETA;SC00320715;4418916768;1;4,45;Motor;8;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7919
ETERNA GRATIDÃO;SC00187467;4430027552;40;16,64;Motor;180;;10000;4;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;7920
ETERNO;RJ00236879;3810353566;6;10,4;Motor;115;;;1;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;7921
ETERNO LINKER;RJ00234797;3880000271;13;12;Motor;170;0,5;;3;;Deferida;RJ;1.06.001;1.14;1. Linha;7922
ETERNO PAI;SP00043056;4030159940;17,6;14;Motor;115;;;4;;Deferida;SP;4.01.002;4.4;4. Rede de Cerco;7923
ETERNO PAI;RJ00077425;3810193194;4,6;8,5;Motor;36;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;7924
ET I;AL00017191;2410153976;4,5;8;Motor;15;;100;3;160;Deferida;AL;5.01.001;5.1;5. Armadilha;7925
ETIANE;BA00254217;4040059492;16,9;14,6;Motor;175;;11123;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;7926
ETO;PA00102669;210231025;14;15,6;Motor;90;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;7927
EU, BRUNO E BRENO;BA00224918;2810286931;1,1;10;Motor;;;;1;;Deferida;BA;1.06.003;1.12;1. Linha;7928
EU CHADAY;RJ00146467;387M2011003436;0,4;5,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7929
EUCLIDES I;CE00028634;1610039572;11,6;11,35;Motor;54;;1662;4;300;Deferida;CE;5.01.003;5.2;5. Armadilha;7930
EU CREIO NO SENHOR JESUS;RJ00148429;387M2011001719;;5,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7931
EUDES II;PB00018949;2010066715;2,6;8;Motor;45;1;300;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;7932
EUDES JUNIOR I;RN00345499;1810055768;6;9,48;Motor;90;;;3;;Deferida;RN;5.01.006;5.9;5. Armadilha;7933
EUDES NETO II;PB00015807;2010074939;3,4;8;Motor;22;2,5;300;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;7934
EUDORADO;RN00270955;1810056624;4,6;8,09;Motor;;;;3;;Deferida;RN;2.02.002;2.5;2. Rede de Emalhe;7935
EU E MINHA FAMÍLIA;RJ00130198;387M2007000941;;6;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7936
EU E TU;RN00035749;1820025179;1;5,52;Vela;;;;3;60;Deferida;RN;5.01.003;5.2;5. Armadilha;7937
EU+EU;RJ00116758;3870060492;13;11,8;Motor;90;;;;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;7938
EU E VOCE;ES00077437;3420036523;2,2;7;Motor;11;;;4;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;7939
EU E VOCÊ;RJ00107777;387M2007000097;;5,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7940
EU GALILEU;CE00305967;1630046558;37;14,38;;180;;7000;6;;Deferida;CE;1.01.002;1.1;1. Linha;7941
EUGENIA I;SC00174818;4420197196;0,4;6;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7942
EUGENIO;CE00345367;161M2023001360;;3,66;Motor, Vela;3;;;2;;Deferida;CE;6.03.003;6.5;6. Diversificada;7943
EUJO;RJ00122007;381M2001076369;;4,85;Motor;9,5;;;4;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7944
EUJO III;RJ00077449;3810301108;0,6;6,1;Motor;13;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;7945
EULA;PR00285974;421M2008005378;;5,8;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;7946
EULAPAULA;BA00250839;2930009756;4,2;8,4;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;7947
EULYNDA;CE00017211;1610059484;7,6;11,2;Motor, Vela;72;;5273;5;300;Deferida;CE;5.01.003;5.2;5. Armadilha;7948
EU MAIS UM;SC00212869;443M2011002011;;4,9;Motor;15;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7949
EU MORRO E NÃO VEJO TUDO;SC00223118;4418901094;0,9;5,7;Motor;9;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7950
EUNICE;SC00332514;445M2018000660;;4,4;Motor;40;;;1;;Deferida;SC;6.08.004;6.11;6. Diversificada;7951
EU POSSO;RJ00077457;3877047106;7;11,25;Motor;;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;7952
EUQFIZ;SC00155704;441M2010002463;;4,1;Motor;8;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;7953
EURIDES;CE00255731;161M2011000924;;4,4;Motor, Remo;4;;;2;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;7954
EUROPA;RJ00005444;4430102376;177;28;Motor;425;;30000;;;Deferida;RJ;1.05.001;1.13;1. Linha;7955
EVA I;RJ00136434;3840035287;;6,5;Remo;;;;;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;7956
EVA I;SC00318744;4410074121;1,49;9,1;Motor;18;1,6;;3;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;7957
EVAIR;CE00036527;161M2005000746;;5,49;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;7958
EVALDO;RJ00112058;387M2011001468;;4,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;7959
EVALDO FILHO I;CE00028648;1610067771;;8,48;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;7960
EVA MAR;CE00278661;163M2007000450;;7,39;Vela;;;;;;Deferida;CE;1.06.003;1.12;1. Linha;7961
EVANGELHO;PR00077461;4211497570;1,4;8,35;Motor;9;;;3;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;7962
EVANILSON I;RN00017249;1810049482;3;8;Motor;75;;;6;160;Deferida;RN;5.01.001;5.1;5. Armadilha;7963
EVANNY;PE00017257;2210138337;4,2;9,8;Motor;;;800;5;220;Deferida;PE;5.01.001;5.1;5. Armadilha;7964
EVA RC;CE00277689;1620017903;11;10,26;Motor;72;;;;;Deferida;CE;1.03.005;1.6;1. Linha;7965
EVELASIO;CE00017261;1630040461;9,1;11,8;Motor;72;;3400;6;300;Deferida;CE;5.01.001;5.1;5. Armadilha;7966
EVELIM MARIA;PA00142255;210215071;7,1;10,2;Motor;16;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;7967
EVELIN;SC00077475;443M2005000735;0,5;5;Motor;11;;10;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;7968
EVELINE;CE00017275;1620016117;11;10,2;Motor;72;7000;3200;6;250;Deferida;CE;5.01.001;5.1;5. Armadilha;7969
EVELIN I;SP00077487;4430020213;1,9;8,9;Motor;18;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;7970
EVELISE;SC00077499;4420138637;1,6;8,4;Motor;11;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;7971
EVELLYN;CE00035827;161M2005000304;;5,2;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;7972
EVELYN;SC00301419;4420237058;1;6,5;Motor;16,5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7973
EVELYN;SC00339210;441M2022005438;1;5,46;Motor;15;;;2;;Deferida;SC;6.03.004;6.7;6. Diversificada;7974
EVELYN E MAURICIO;RJ00011941;3820073868;11,9;11;Motor;115;;;10;;Deferida;RJ;4.01.005;4.2;4. Rede de Cerco;7975
Eve-Mari I;SC00154418;4420209780;0,8;7,5;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7976
EVEREST;ES00136828;3410230858;16,4;12,45;Motor;120;;;9;;Deferida;ES;5.01.007;5.5;5. Armadilha;7977
EVERESTE I;ES00107437;3410231951;21,1;12,05;Motor;;;;7;;Deferida;ES;1.01.002;1.1;1. Linha;7978
EVERESTE II;PB00232815;87707535;3,6;9,1;Motor;45;;2100;;;Deferida;PB;1.03.005;1.6;1. Linha;7979
EVERESTE III;PB00232839;2210148961;3,1;8,1;Motor;36;;1700;;;Deferida;PB;2.02.001;2.2;2. Rede de Emalhe;7980
EVERESTE IV;PB00208698;2010218221;8;11,15;Motor;45;;2100;6;;Deferida;PB;6.03.003;6.5;6. Diversificada;7981
EVEREST II;ES00111548;3410234845;21,4;13;Motor;120;;;9;;Deferida;ES;1.02.001;1.3;1. Linha;7982
EVEREST III;ES00120867;3410237305;23,8;13,97;Motor;120;;;8;;Deferida;ES;1.02.001;1.3;1. Linha;7983
EVEREST IV;ES00007506;3410230076;15,9;12,45;Motor;120;;3800;9;;Deferida;ES;1.02.001;1.3;1. Linha;7984
EVEREST V;ES00142787;3410386785;31,6;15,29;Motor;220;;;8;;Deferida;ES;1.01.002;1.1;1. Linha;7985
EVERTON;PR00159538;421M2008001691;;6,4;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;7986
EVERTON;SC00249650;4420232544;1,4;6,9;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7987
EVERTONBRENNER;ES00112368;3410232796;21,2;13,34;Motor;120;;;11;;Deferida;ES;1.02.001;1.3;1. Linha;7988
EVIELLYN MAR;RJ00303691;3820111514;8,85;10,75;Motor;72;0,6;;3;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;7989
EVILA;PA00207366;210195509;4,7;9,4;Motor;10;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;7990
EVILANIA;CE00100781;163M2007001022;;7,12;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;7991
EVILAZIO;ES00117664;3410234675;18,8;12,87;Motor;;;;8;;Deferida;ES;1.02.001;1.3;1. Linha;7992
EVILAZIO II;ES00111414;3410240608;27,4;14,54;Motor;220;;;7;;Deferida;ES;1.10.001;1.17;1. Linha;7993
EVILÁZIO III;ES00109527;3410384626;43;17,02;Motor;;;;7;;Deferida;ES;1.02.001;1.3;1. Linha;7994
EVINY;SC00212775;441M2010003222;;4,7;Motor;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;7995
EVIPESCA;SP00077507;4040065131;6,4;9,5;Motor;60;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;7996
E VITORIA;SE00322709;2610110421;22;12,2;Motor;120;;5000;6;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;7997
EVOLUTION RADICAL;MA00211979;1210112221;4;10,4;Motor;14;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;7998
EWERTON I;CE00102797;1620016508;12;11,5;Motor;68;;;3;300;Deferida;CE;5.01.001;5.1;5. Armadilha;7999
EXODO;AP00291959;220105626;5;13,7;Motor;49;;350;1;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;8000
EXPEDITO;CE00035915;161M2005000495;;8,6;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;8001
EXPEDITO I;CE00036531;161M2007005284;0,25;4,4;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;8002
EXPEDITO III;CE00258167;161M2011001581;;3,88;Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;8003
EXPEDITO NETO;PA00136730;210298634;33,7;16;Motor;220;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;8004
EXPLENDOR;BA00244340;2930056070;2;7,2;Motor;;;;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;8005
EXPLODE CORAÇÃO;ES00103831;3850011135;5,6;9,5;Motor;22;;;3;;Deferida;ES;1.09.004;1.11;1. Linha;8006
EXPRESSINHO;RJ00237227;3810169196;1,9;7,2;Motor;10;;;3;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;8007
EXPRESSO BRASIL;PA00110764;210220252;5;10,32;Motor;33;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;8008
EXTERMINADOR II;SP00332198;403M2021003385;;5,54;Motor;15;;;2;;Deferida;SP;6.03.001;6.6;6. Diversificada;8009
EXYLLEN;CE00014801;1620009170;6,7;9,4;Motor;45;2,4;850;6;220;Deferida;CE;5.01.001;5.1;5. Armadilha;8010
EZEQUIEL;SC00212521;442M2007005067;;4,25;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8011
EZEQUIEL;SP00077519;4010619465;3;8,5;Motor;90;;800;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;8012
EZEQUIEL E CAUAN;SC00322677;4418912231;1;8,55;Motor;18;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;8013
EZEQUIEL I;SC00157034;443M2011003734;;6,38;Motor;22;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8014
EZEQUIEL IV;SC00195026;4610090520;;8,43;Motor;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8015
EZEQUIEL V;SC00272651;4451115183;1;6,72;Motor;40;;;4;;Deferida;SC;1.06.001;1.14;1. Linha;8016
EZILDA;RJ00237245;3810193810;1,4;7;Motor;22;;;3;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;8017
F-29;MA00269564;120213435;;7,2;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;8018
F ABENÇOADA;CE00314064;1630047856;6;8,7;Motor;72;;;5;;Deferida;CE;1.03.005;1.6;1. Linha;8019
Fabia I;CE00113576;1610059042;2,1;6,55;Vela;;;;5;80;Deferida;CE;5.01.004;5.3;5. Armadilha;8020
FABIA III;CE00257057;161M2006001921;;6,9;Vela;;;;5;;Deferida;CE;1.03.005;1.6;1. Linha;8021
FABIANA;SP00144137;401M2001019071;;4,63;Remo;;;;;;Deferida;SP;2.02.001;2.2;2. Rede de Emalhe;8022
FABIANA;CE00017299;1630040576;1;6,15;Vela;;;;4;80;Deferida;CE;5.01.004;5.3;5. Armadilha;8023
FABIANA;SC00234549;4418908528;0,7;5,2;Motor;5;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;8024
FABIANA I;SC00166195;4420199172;;6;Motor;5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8025
FABIANA I;MA00308977;1210115484;4;8,5;Motor;18;;;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;8026
FABIANA III;CE00033551;1630042145;1,4;7,6;Vela;;;;4;110;Deferida;CE;5.01.004;5.3;5. Armadilha;8027
FABIANA IV;SP00077527;4040092503;2,91;8,5;Motor;18;;;3;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;8028
FABIANA MARIA;CE00034251;1630035335;1,9;8,2;Vela;;;;4;110;Deferida;CE;5.01.003;5.2;5. Armadilha;8029
FABIANA MOURA;SC00053059;4430057958;18;14,3;Motor;150;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8030
FABIANA SEREIA DO MAR;SC00250971;4418910468;1;7;Motor;8;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8031
FABIANE II;PB00017307;2010076206;2,8;8;Motor;45;9;100;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;8032
FABIANO;RJ00191514;387M2010001395;;5,15;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;8033
FABIANO;RJ00108881;387M2011000461;;6;Remo;;;;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;8034
FABINHO;CE00033097;1610062027;0,9;5,51;Motor, Vela;10;;;4;60;Deferida;CE;5.01.003;5.2;5. Armadilha;8035
FABIO;RN00017319;1810050618;3;8,12;Motor;50;;;3;200;Deferida;RN;5.01.001;5.1;5. Armadilha;8036
FABIO;SP00070991;4010786981;3,4;8,08;Motor;10;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;8037
FABIO COSTA I;RS00005944;4610086298;43;18,8;Motor;225;;6000;4;;Deferida;RS;2.08.001;2.13;2. Rede de Emalhe;8038
FÁBIO FILHO;RN00310538;2010079728;10;11,25;Motor;90;;;5;;Deferida;RN;5.01.006;5.9;5. Armadilha;8039
FABIO FILHO II;RN00098789;1810040001;9;9,15;Motor;54;;;6;220;Deferida;RN;5.01.003;5.2;5. Armadilha;8040
FABIO I;BA00017327;2210122724;4,5;9;Motor;54;;;4;200;Deferida;BA;5.01.001;5.1;5. Armadilha;8041
FABIO I;SC00077557;4430109842;1,6;7,5;Motor;10;1,4;;5;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;8042
FABIO III;BA00188419;2820056041;4,9;8,3;Motor;18;;;;;Deferida;BA;6.03.001;6.6;6. Diversificada;8043
FABIO JUNIOR;BA00244718;2930019913;2;7;Motor;;;;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;8044
FABIOLA;ES00197700;341M2006004103;;5;Motor;6;;;2;;Deferida;ES;2.04.001;2.4;2. Rede de Emalhe;8045
FABÍOLA II;MA00233825;1210128748;2,2;6,8;Motor;9;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;8046
FABIOLA M;ES00105921;3410234667;18,8;12,87;Motor;200;;;8;;Deferida;ES;1.01.002;1.1;1. Linha;8047
FABIOLA VANESSA;SP00077577;4030232132;4,4;7;Motor;18;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;8048
FABIO SANTOS I;RS00006008;4610094746;49;18,8;Motor;311;;6000;4;;Deferida;RS;2.08.001;2.13;2. Rede de Emalhe;8049
FABRICIA;SC00156096;4410134361;1,2;8;Motor;11;1,7;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8050
FABRICIA;ES00151628;3410386742;6;7,67;Motor;22;;50;4;;Deferida;ES;1.06.001;1.14;1. Linha;8051
FABRICIO;CE00095197;1610033060;11,7;10,6;Motor;;;;4;250;Deferida;CE;5.01.001;5.1;5. Armadilha;8052
FABRICIO;RJ00129825;3850011178;0,6;7;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;8053
FABRICIO AC;CE00028668;161M2007004806;;4,29;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;8054
FABRICIO FILHO;CE00257765;162M2015000049;;4,48;Vela;;;;4;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;8055
FABRICIO HENRIQUE;SP00329791;4019925348;1;6,7;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;8056
FABRICIO II;ES00191184;3420031416;1,4;5,6;Motor;13;;10;3;;Deferida;ES;6.03.001;6.6;6. Diversificada;8057
FABRICIO II;PE00017345;2210130565;2;9,4;Motor;40;;;3;220;Deferida;PE;5.01.001;5.1;5. Armadilha;8058
FABRICIO IV;PR00283180;421M2010001780;;4,89;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;8059
FABRIMAR;SC00050281;4410445251;3;8,5;Motor;45;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8060
FACEBOOK;BA00208720;2930021322;4,2;9,2;Motor;18;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;8061
FACEIRA III;SC00219801;4451114110;0,7;5,87;Motor;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8062
FACEIRO;RJ00077581;3860008196;2;7;Motor;13;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;8063
FACERINHA;SC00318158;441M2018000622;1;4,15;Motor;5;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8064
FADA;SP00327355;4039155211;1,01;6,2;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;8065
FADA;SC00055529;4418889892;1;8,74;Remo;;;;6;;Deferida;SC;6.08.001;6.8;6. Diversificada;8066
FADA DO MAR;SC00077595;4430108897;1,5;8,5;Motor;10;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;8067
FADA MADRINHA;CE00017357;1620021439;1,1;5,31;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;8068
FAFA;SC00324767;442M2016004842;;5;Motor;18;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8069
FAFI;RJ00077601;3870053275;4,2;8,8;Motor;33;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;8070
FAG I;ES00256825;3410389555;53;17,59;Motor;290;;16000;8;;Deferida;ES;1.02.001;1.3;1. Linha;8071
FAGNER;CE00284366;161M2012000037;;4,15;Vela;;;;;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;8072
FAGNER II;PR00077615;4215508461;;8,75;Motor;12;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;8073
FAGUNDES;SC00190108;4410445529;1;7,26;Motor;7,5;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8074
FAGUNDES;SC00269086;4418912835;1;6;Motor;9;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8075
FAGUNDES;SC00292357;4420231416;1,4;6;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8076
FAGUNDES;SC00301577;4420199270;0,6;5,85;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8077
FAISÃO DE SOURE;PA00100219;210308826;7;10,47;Motor;18;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;8078
FAISCA;PR00114790;421M2008000619;;5,16;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;8079
FAISCA;SC00180257;4420205491;;6;Motor;51;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8080
FAISCA;PR00281258;421M2007002301;;5,21;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;8081
FAISCA;SC00217327;441M2007001408;;5;;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;8082
FAISCA;PR00298429;421M2008005807;;7;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;8083
FAISCA;SP00162757;4030156321;0,8;8,5;Motor;7,5;;;4;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;8084
FAÍSCA;RJ00121207;387M2011002898;;7;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;8085
