Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
MANOEL CUNHA;RN00020758;1830055470;36;13,9;Motor;90;;6000;6;;Deferida;RN;1.01.002;1.1;1. Linha;14303
MANOEL ERONES I;RN00020098;1810041449;5;8,5;Motor;76;;;5;200;Deferida;RN;5.01.004;5.3;5. Armadilha;14304
MANOEL ESPOGEIRO;SC00012071;4430100560;109;25,4;Motor;350;;18000;;;Deferida;SC;4.01.005;4.2;4. Rede de Cerco;14305
MANOEL GOMES;RN00247476;1810041325;5;9;Motor;;;60;3;;Deferida;RN;2.02.002;2.5;2. Rede de Emalhe;14306
MANOEL I;SC00228098;442M2006000553;;6;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14307
MANOEL II;PE00176424;1810053765;4,9;9,05;Motor;;;;3;;Deferida;PE;3.02.005;3.5;3. Rede de Arrasto;14308
MANOEL III;SC00339274;441M2022005098;1;5,57;Motor;11;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14309
MANOEL JUNIOR DE IG MIRI;PA00114156;210994649;11;14,7;Motor;114;;;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;14310
MANOELLA;BA00247940;2820057161;3,5;7;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;14311
Manoel Lessa;SC00145127;4451111323;73;20,4;Motor;160;;;11;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14312
MANOEL LESSA I;SC00067410;4450085582;46,9;17;Motor;170;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14313
MANOEL LESSA II;SC00057599;4450082044;33;17,45;Motor;203;;;6;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;14314
MANOEL LESSA III;SC00068456;4430098018;38;17;Motor;195;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14315
MANOEL MONTEIRO I;CE00246790;1630045136;26;13,86;Motor;108;;5000;6;;Deferida;CE;1.03.005;1.6;1. Linha;14316
MANOEL NETO;CE00101995;161M2006000525;;5,4;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;14317
MANOEL REIS;SE00002366;2610074255;9,7;10;Motor;90;;5992;3;;Deferida;SE;3.02.005;3.5;3. Rede de Arrasto;14318
MANOEL TN;SC00085544;4410450123;2;7;Motor;13;0,8;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14319
MANOEL VIEIRA I;RJ00003508;3810225011;47;18,7;Motor;115;;12000;8;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;14320
MANOEL X;SC00069550;4430057613;11,3;13,75;Motor;175;;;2;;Deferida;SC;3.02.005;3.5;3. Rede de Arrasto;14321
MANO FUCA;SP00313794;4030210031;0,7;5,8;Remo;;0,1;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;14322
MANO I;SC00154038;4420189975;0,5;6,4;Motor;11;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14323
MANTO AZUL;RJ00193486;383M2016001641;0,5;5;Remo;;0,11;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14324
MANTO AZUL II;SP00123625;4030223842;7,3;8;Motor;;;;3;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;14325
MANTO AZUL VI;RJ00064598;3850005496;8,9;10;Motor;33;;;3;;Deferida;RJ;2.04.001;2.4;2. Rede de Emalhe;14326
MANTO BRANCO;RJ00143127;3850008657;6;10;Motor;33;;;3;;Deferida;RJ;1.02.002;1.7;1. Linha;14327
MANTO SAGRADO;SC00047644;4420208937;5,2;9,3;Motor;45;;120;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14328
MANTO SAGRADO I;RJ00180977;3813883990;0,1;8;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14329
MANU;PR00291421;421M2015003057;;4,66;Remo;;;;3;;Deferida;PR;6.04.001;null;6. Diversificada;14330
MANU;SC00159216;4410450620;1;7,2;Remo;12;;;3;;Deferida;SC;6.08.001;6.8;6. Diversificada;14331
MANU;SC00336696;445M2020001127;0,6;4,2;Motor;15;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;14332
MANUBIA;PR00084070;4210274178;1;8,84;Motor;24;;;1;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;14333
Manuela;PR00282668;421M2013003928;;4;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;14334
MANUELA;SC00154090;442M2005005156;;5;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14335
MANUELA;ES00150430;341M2006001074;;4,5;Remo;;;;2;;Deferida;ES;6.03.001;6.6;6. Diversificada;14336
MANUELA;SC00176648;442M2006000243;;6;Motor;12;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14337
MANUELA;SP00310088;403M2008002184;;4,2;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;14338
MANUELA;SC00320037;442M2010006268;1,99;7;Remo;;;;2;;Deferida;SC;6.08.001;6.8;6. Diversificada;14339
MANUELA A;RJ00236957;3820086153;8;10,9;Motor;60;;;2;;Deferida;RJ;3.03.001;3.6;3. Rede de Arrasto;14340
MANUELA R;RS00123067;4610102897;20;12,6;Motor;100;;1964;4;;Deferida;RS;2.08.001;2.13;2. Rede de Emalhe;14341
MANUELA SIMÃO;SC00071787;4430054754;13;13,95;Motor;90;;9000;4;;Deferida;SC;1.10.002;1.18;1. Linha;14342
MANUELLA;SC00162597;4410170112;1,8;6,65;Motor;11;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14343
MANUELLA PINHEIRO;SC00147565;4010555629;80;21,94;Motor;291;;25000;;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;14344
MANUELLE;RN00020760;1810047391;8;8,92;Motor;98;;;5;200;Deferida;RN;5.01.001;5.1;5. Armadilha;14345
MANU F;RS00039437;4610069601;18,9;14,2;Motor;108;;2000;4;;Deferida;RS;2.08.001;2.13;2. Rede de Emalhe;14346
MANU FC;CE00278365;1630046311;22;12,49;Motor;108;;5100;;;Deferida;CE;1.06.003;1.12;1. Linha;14347
MANU II;PR00114698;421M2010000660;;5,28;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;14348
MANÚ II;RS00039277;4610096269;74;19,95;Motor;290;;10000;4;;Deferida;RS;2.04.001;2.4;2. Rede de Emalhe;14349
